Date,Shown,Clicked,Converted,Avg_cost_per_click,Total_revenue,Ad_group,Region,Device_type,CTR
15-01-2015,1318,44,8,1.02,133.61,AdGroup_14,West,Desktop,0.1758
15-01-2015,4705,162,79,2.44,3050.68,AdGroup_34,North,Mobile,0.0245
27-04-2016,85389,3559,32,0.93,1122.35,ad_group_3,Europe,Mobile,0.0417
18-08-2015,80809,3104,34,1.01,703.78,ad_group_2,North America,Mobile,0.0384
05-02-2018,55770,2852,62,1.16,1061.25,ad_group_2,North America,Desktop,0.0511
03-09-2016,73209,3268,55,0.85,1081.87,ad_group_3,North America,Desktop,0.0446
30-03-2020,70104,4018,54,1.02,1074.55,ad_group_4,South America,Mobile,0.0573
27-12-2017,66727,3590,54,1.09,641.99,ad_group_4,South America,Mobile,0.0538
07-10-2017,78674,2217,31,1.01,508.4,ad_group_1,South America,Mobile,0.0282
27-10-2015,55480,4107,62,0.89,636.09,ad_group_1,North America,Mobile,0.074
08-04-2016,69329,4449,45,1.13,470.63,ad_group_3,Asia,Mobile,0.0642
20-11-2019,70416,4486,54,1.08,797.9,ad_group_3,South America,Desktop,0.0637
21-09-2019,72204,3738,57,0.93,840.75,ad_group_4,North America,Desktop,0.0518
04-08-2016,76715,1025,55,0.99,668.1,ad_group_2,North America,Desktop,0.0134
07-08-2015,77901,3985,35,1.06,674.03,ad_group_5,South America,Desktop,0.0512
01-04-2019,55034,1731,43,1.2,732.44,ad_group_1,South America,Desktop,0.0315
14-01-2020,73866,4469,67,1.2,768.95,ad_group_2,Europe,Mobile,0.0605
12-05-2019,68424,3684,33,1.11,512.29,ad_group_4,Asia,Mobile,0.0538
15-01-2015,3050,309,44,0.32,3653.31,AdGroup_16,West,Desktop,0.0765
01-06-2018,93336,3977,45,1.12,414.23,ad_group_4,Asia,Desktop,0.0426
15-09-2017,72729,4147,56,0.86,1141.27,ad_group_4,South America,Mobile,0.057
15-01-2015,2588,452,117,0.85,2242.2,AdGroup_26,West,Desktop,0.0218
01-05-2020,76468,3430,55,1.03,583.01,ad_group_4,Europe,Mobile,0.0449
22-05-2016,61557,4077,67,0.84,674.39,ad_group_1,South America,Mobile,0.0662
21-03-2016,59787,2351,57,0.84,691.43,ad_group_2,Europe,Desktop,0.0393
08-02-2019,87123,4212,37,1.15,1006.48,ad_group_1,Asia,Mobile,0.0483
10-05-2018,90664,4611,38,0.98,1008.83,ad_group_2,Europe,Desktop,0.0509
09-11-2016,69583,3121,63,1.12,1113.32,ad_group_5,Europe,Desktop,0.0449
21-05-2019,88114,3217,45,1.02,531.65,ad_group_1,South America,Mobile,0.0365
03-03-2017,51184,1411,45,0.82,681.98,ad_group_5,Europe,Mobile,0.0276
29-05-2017,53118,1663,61,0.86,879.67,ad_group_5,North America,Desktop,0.0313
12-11-2019,68225,1704,68,0.91,949.88,ad_group_3,Asia,Mobile,0.025
02-04-2020,59644,3924,66,1.13,850.97,ad_group_5,North America,Mobile,0.0658
14-02-2015,65814,3018,32,1.07,888.32,ad_group_2,South America,Mobile,0.0459
17-11-2016,95553,4167,70,1.14,763.07,ad_group_4,South America,Desktop,0.0436
03-08-2018,86798,4006,64,1.17,747.27,ad_group_3,North America,Desktop,0.0462
15-01-2015,3386,371,88,1.76,8054.85,AdGroup_20,North,Tablet,0.1656
16-03-2016,64480,4184,56,1.05,451,ad_group_4,North America,Mobile,0.0649
15-10-2017,56329,3488,48,1,431.09,ad_group_3,Europe,Desktop,0.0619
12-09-2015,70916,3265,45,0.81,805.75,ad_group_1,Europe,Desktop,0.046
24-04-2016,62907,2309,33,1.16,589.7,ad_group_1,North America,Desktop,0.0367
10-10-2015,76692,1970,70,0.89,845.48,ad_group_3,South America,Mobile,0.0257
09-06-2018,76008,1978,53,1.01,544.39,ad_group_5,Europe,Mobile,0.026
30-08-2019,58797,1669,43,1.16,869.55,ad_group_3,Europe,Mobile,0.0284
10-10-2018,59538,2913,70,1.06,1111.73,ad_group_5,North America,Desktop,0.0489
29-01-2017,99904,2404,52,0.99,841.16,ad_group_2,Asia,Desktop,0.0241
10-04-2020,57984,4927,41,1.07,1121.38,ad_group_5,South America,Mobile,0.085
03-11-2016,83883,4738,57,0.97,1182.55,ad_group_5,Asia,Mobile,0.0565
22-01-2020,50643,2802,66,1.16,784.36,ad_group_5,South America,Desktop,0.0553
07-10-2015,92439,1240,48,0.87,1093.43,ad_group_2,Europe,Desktop,0.0134
19-08-2016,94565,4602,64,1.01,812.6,ad_group_4,Asia,Desktop,0.0487
01-05-2016,62903,4423,49,0.89,410.81,ad_group_3,North America,Desktop,0.0703
13-10-2016,73015,4559,57,0.9,1099.97,ad_group_1,North America,Desktop,0.0624
06-03-2020,94787,2636,70,0.86,1114.52,ad_group_1,North America,Mobile,0.0278
31-05-2017,58077,4077,42,0.82,875.25,ad_group_3,North America,Mobile,0.0702
09-03-2016,66894,1114,30,0.97,1017.29,ad_group_1,North America,Desktop,0.0167
28-04-2019,74118,2529,30,0.94,857.84,ad_group_2,Asia,Mobile,0.0341
16-07-2018,99832,3286,61,1.03,755,ad_group_3,North America,Desktop,0.0329
15-01-2015,3490,107,32,3.47,1972.5,AdGroup_14,East,Desktop,0.1419
15-01-2015,584,277,45,1.88,9902.22,AdGroup_10,East,Mobile,0.0775
16-11-2017,79290,4561,68,0.95,600.88,ad_group_3,Europe,Mobile,0.0575
30-12-2018,81782,2402,69,1.16,724.45,ad_group_4,South America,Desktop,0.0294
10-09-2015,81841,2241,47,1,1084,ad_group_4,South America,Mobile,0.0274
21-07-2019,54526,2126,35,1.07,533.83,ad_group_1,Asia,Mobile,0.039
15-01-2015,3343,338,118,1.97,2064.88,AdGroup_11,West,Mobile,0.1339
10-09-2019,87944,4978,52,1.11,790.08,ad_group_4,South America,Mobile,0.0566
19-05-2017,67692,3758,40,0.8,1045.79,ad_group_3,Europe,Desktop,0.0555
15-01-2015,3197,157,64,0.58,7571.02,AdGroup_32,South,Desktop,0.1723
25-09-2019,70222,4167,39,1.03,1194.49,ad_group_5,Europe,Mobile,0.0593
11-04-2015,89262,4194,65,0.91,745.24,ad_group_1,Asia,Mobile,0.047
15-01-2015,1164,587,100,3.5,3317.91,AdGroup_18,South,Desktop,0.0691
08-09-2019,51309,2495,68,0.99,817.08,ad_group_1,Europe,Mobile,0.0486
24-11-2016,59058,2710,30,1.12,1174.63,ad_group_5,Europe,Desktop,0.0459
11-03-2016,77165,3042,59,0.89,636.54,ad_group_4,North America,Desktop,0.0394
19-03-2018,53548,2789,41,0.81,736.85,ad_group_1,South America,Desktop,0.0521
15-08-2018,52812,1251,52,1.17,882.81,ad_group_4,North America,Desktop,0.0237
30-05-2018,54922,2739,41,0.87,549.12,ad_group_3,Europe,Mobile,0.0499
06-03-2016,64962,4618,41,0.88,1187.49,ad_group_5,Asia,Mobile,0.0711
01-11-2016,69252,2511,42,0.88,1154.66,ad_group_3,North America,Desktop,0.0363
05-05-2017,51208,2108,66,1.16,1057.79,ad_group_2,Asia,Mobile,0.0412
14-05-2020,96619,4557,65,0.82,811.81,ad_group_4,North America,Mobile,0.0472
08-10-2018,81568,4006,46,1.17,814.28,ad_group_4,North America,Mobile,0.0491
11-08-2018,89643,1168,54,1.05,1091.32,ad_group_5,Europe,Desktop,0.013
10-04-2018,74876,4306,41,1.18,527.38,ad_group_2,North America,Mobile,0.0575
17-05-2018,62503,1571,54,1.19,489.12,ad_group_3,Asia,Desktop,0.0251
19-01-2018,68740,3706,58,1.15,720.74,ad_group_1,Europe,Desktop,0.0539
22-01-2018,79583,3399,45,1.13,564.68,ad_group_1,Asia,Mobile,0.0427
01-11-2019,80437,3449,36,1.07,744.02,ad_group_2,North America,Mobile,0.0429
06-04-2019,64943,3833,55,0.96,444.33,ad_group_3,Asia,Desktop,0.059
29-04-2017,95300,4862,67,0.93,1086.85,ad_group_2,North America,Mobile,0.051
26-08-2015,96496,4172,32,0.95,1150.88,ad_group_2,Asia,Mobile,0.0432
08-03-2016,92206,1509,31,1.19,1061.92,ad_group_5,Asia,Desktop,0.0164
31-10-2017,68880,3999,63,0.95,1198.62,ad_group_1,Asia,Mobile,0.0581
13-06-2016,67226,1821,46,1.14,401.74,ad_group_4,Asia,Mobile,0.0271
03-09-2017,65426,3054,46,0.82,1022.3,ad_group_3,North America,Mobile,0.0467
30-12-2019,57374,4748,64,0.9,905.25,ad_group_3,South America,Desktop,0.0828
15-01-2015,4072,397,63,0.96,703.74,AdGroup_30,West,Mobile,0.1694
30-05-2020,84702,4572,54,1.1,961.66,ad_group_2,Asia,Mobile,0.054
20-02-2018,95584,3913,54,1.09,712.92,ad_group_3,Asia,Desktop,0.0409
20-03-2017,95731,1516,56,0.96,747.19,ad_group_1,Europe,Desktop,0.0158
13-11-2019,65612,4495,60,1.04,720.57,ad_group_3,North America,Mobile,0.0685
15-07-2017,81551,2588,30,1.2,459.02,ad_group_2,Europe,Mobile,0.0317
16-07-2015,61003,1428,57,1.05,1150.66,ad_group_3,North America,Mobile,0.0234
21-03-2017,70440,3915,40,1.15,771.98,ad_group_2,South America,Desktop,0.0556
30-01-2015,58403,3969,39,0.84,444.3,ad_group_4,Europe,Mobile,0.068
06-04-2016,56254,3528,57,1.19,629.55,ad_group_5,Asia,Mobile,0.0627
25-04-2018,78897,4402,67,0.91,837.92,ad_group_5,Europe,Mobile,0.0558
31-08-2017,74899,2757,63,1.02,472.39,ad_group_5,South America,Mobile,0.0368
29-06-2015,87240,3982,64,1.11,431.3,ad_group_5,South America,Desktop,0.0456
03-01-2016,86857,3992,68,1.1,786.83,ad_group_2,North America,Desktop,0.046
02-07-2016,85189,1105,58,1.03,413.45,ad_group_3,Europe,Desktop,0.013
26-10-2018,68384,3163,36,1.02,435.93,ad_group_4,Asia,Desktop,0.0463
04-01-2016,72197,2318,60,0.83,891.3,ad_group_3,Asia,Mobile,0.0321
29-08-2019,82527,3425,31,0.84,1002.02,ad_group_3,Europe,Desktop,0.0415
27-02-2016,50767,3049,37,1.16,1001.65,ad_group_5,North America,Desktop,0.0601
16-05-2020,56452,2789,37,0.93,890.89,ad_group_5,Europe,Desktop,0.0494
23-06-2015,67548,4927,32,1.06,402.73,ad_group_3,North America,Desktop,0.0729
11-05-2019,60821,3732,67,0.91,869.15,ad_group_3,North America,Mobile,0.0614
16-04-2016,77768,3473,50,0.82,648.77,ad_group_2,Europe,Mobile,0.0447
11-06-2017,57490,3372,35,0.94,763.21,ad_group_1,North America,Mobile,0.0587
23-04-2016,77159,1988,63,1.02,1167.42,ad_group_1,North America,Mobile,0.0258
15-01-2015,1193,501,82,3.09,3441.53,AdGroup_6,North,Desktop,0.0285
25-08-2016,73159,1835,64,1.17,871.99,ad_group_1,Europe,Mobile,0.0251
01-08-2019,59024,2850,30,1.07,498.55,ad_group_3,Europe,Mobile,0.0483
13-07-2019,77344,4030,50,1.01,551.62,ad_group_1,Asia,Mobile,0.0521
11-03-2015,54058,2589,50,1.18,848.46,ad_group_2,Asia,Desktop,0.0479
15-01-2015,1051,541,6,1.33,7400.07,AdGroup_9,South,Desktop,0.082
02-03-2016,75561,1771,60,0.83,468.25,ad_group_1,Europe,Mobile,0.0234
30-08-2018,98426,4502,48,0.96,617.87,ad_group_4,North America,Desktop,0.0457
31-12-2019,64494,3013,42,1.16,729.26,ad_group_4,South America,Mobile,0.0467
30-04-2016,62949,4639,66,0.88,501.71,ad_group_2,South America,Mobile,0.0737
07-04-2015,90767,1904,37,0.86,462.28,ad_group_1,North America,Mobile,0.021
05-09-2015,55927,4547,45,1.17,1073.56,ad_group_3,North America,Desktop,0.0813
15-11-2018,55844,3889,55,0.94,880.81,ad_group_3,North America,Mobile,0.0696
07-03-2018,82981,3787,44,1.16,403.4,ad_group_3,Asia,Mobile,0.0456
19-01-2016,95847,2854,31,0.93,784.01,ad_group_1,North America,Mobile,0.0298
17-04-2016,73216,4588,64,1.18,707.76,ad_group_2,Europe,Mobile,0.0627
30-07-2015,75830,2985,45,0.92,439.2,ad_group_1,Europe,Desktop,0.0394
26-07-2017,68761,4840,61,1.19,632.03,ad_group_5,Asia,Mobile,0.0704
17-05-2020,65434,4751,66,1.12,485.17,ad_group_2,South America,Desktop,0.0726
15-01-2015,1906,310,12,0.34,1160.27,AdGroup_10,North,Mobile,0.026
26-06-2019,60925,2347,40,0.89,1081.48,ad_group_3,North America,Desktop,0.0385
20-02-2019,52970,4063,49,0.91,738.65,ad_group_2,South America,Desktop,0.0767
05-08-2019,96029,1232,42,1.02,852.97,ad_group_1,North America,Mobile,0.0128
27-11-2017,89545,3179,43,1.13,716.78,ad_group_1,South America,Desktop,0.0355
15-01-2015,934,471,115,2.08,6581.78,AdGroup_35,East,Tablet,0.0464
28-10-2019,84409,4926,68,0.9,459.73,ad_group_1,North America,Desktop,0.0584
08-03-2020,89667,3383,41,1.03,1108.68,ad_group_4,South America,Mobile,0.0377
25-04-2016,62854,4520,38,1.14,525.49,ad_group_5,North America,Desktop,0.0719
12-07-2019,73673,2775,70,0.96,667.71,ad_group_3,North America,Mobile,0.0377
15-01-2015,873,456,63,1.98,6528.21,AdGroup_25,East,Mobile,0.0618
10-05-2016,75649,1979,67,1.16,493.3,ad_group_2,Asia,Desktop,0.0262
24-07-2019,69856,1838,70,1.15,725.39,ad_group_3,Asia,Mobile,0.0263
11-06-2016,66150,3754,30,1,418.43,ad_group_2,South America,Mobile,0.0567
15-01-2015,1752,360,41,3.03,4095.05,AdGroup_16,South,Tablet,0.1381
06-08-2018,64112,1556,42,0.99,850.75,ad_group_4,Asia,Desktop,0.0243
02-03-2019,66832,2443,34,1,471.32,ad_group_5,South America,Mobile,0.0366
15-01-2015,2206,437,36,2.11,5523.57,AdGroup_19,South,Tablet,0.1289
03-07-2019,62140,4868,41,1.14,1035.57,ad_group_1,Asia,Desktop,0.0783
19-05-2020,99260,3097,54,0.97,1184.45,ad_group_1,North America,Desktop,0.0312
08-09-2017,59128,1728,37,0.89,629.09,ad_group_1,South America,Mobile,0.0292
31-07-2015,55917,1752,53,0.91,874.55,ad_group_3,North America,Desktop,0.0313
18-11-2015,78978,3381,53,1.14,1066.46,ad_group_2,South America,Mobile,0.0428
26-11-2016,72581,3561,31,0.82,689.45,ad_group_5,South America,Mobile,0.0491
07-11-2017,57305,3981,44,1.05,1174,ad_group_2,Europe,Mobile,0.0695
28-12-2015,52475,1152,54,1.03,583.87,ad_group_3,Europe,Mobile,0.022
23-05-2017,73072,1235,54,0.97,805.17,ad_group_4,South America,Desktop,0.0169
17-09-2015,63714,2768,41,0.98,903.85,ad_group_3,Asia,Desktop,0.0434
11-03-2018,75032,3425,43,0.84,758.82,ad_group_3,South America,Mobile,0.0456
06-08-2017,90413,4285,56,0.82,630.06,ad_group_3,Asia,Desktop,0.0474
15-01-2015,1835,174,101,0.55,5844.77,AdGroup_35,South,Desktop,0.1011
15-01-2015,2322,201,80,0.42,2290.34,AdGroup_7,South,Mobile,0.1151
15-01-2015,1362,588,96,2.18,3036.9,AdGroup_24,South,Tablet,0.1115
11-03-2019,59278,4025,35,0.97,722.09,ad_group_1,North America,Mobile,0.0679
14-12-2017,65001,4449,54,1.12,851.6,ad_group_2,Asia,Desktop,0.0684
09-01-2018,59658,4265,59,0.99,557.05,ad_group_5,North America,Mobile,0.0715
15-02-2019,50326,4409,41,0.83,584.28,ad_group_2,Asia,Desktop,0.0876
15-01-2015,4065,354,117,3.37,9630.16,AdGroup_17,North,Mobile,0.0254
15-01-2015,3798,365,40,2.82,7294.26,AdGroup_8,East,Desktop,0.1761
17-03-2018,64048,4716,69,1.08,661.19,ad_group_3,Asia,Mobile,0.0736
13-02-2016,89773,3990,33,1.02,662.78,ad_group_4,South America,Desktop,0.0444
15-01-2015,2222,464,40,1.91,812.46,AdGroup_13,South,Mobile,0.0129
23-05-2016,82286,2549,42,1.18,1049.98,ad_group_2,South America,Mobile,0.031
09-03-2015,70006,1499,49,1.07,549.39,ad_group_3,South America,Mobile,0.0214
18-03-2017,85883,4706,34,0.81,1017.02,ad_group_5,South America,Mobile,0.0548
15-01-2015,3522,590,84,2.32,5653.2,AdGroup_19,East,Tablet,0.0516
06-11-2018,54656,3053,39,1.15,465.42,ad_group_5,North America,Desktop,0.0559
18-02-2015,78682,2696,54,0.85,984.88,ad_group_3,Asia,Desktop,0.0343
28-06-2016,67541,3812,60,1.01,1125.59,ad_group_1,South America,Mobile,0.0564
24-05-2016,58676,3372,62,1.15,889.05,ad_group_4,North America,Mobile,0.0575
26-06-2018,67263,3213,52,0.82,1151.7,ad_group_3,Europe,Mobile,0.0478
09-09-2015,62264,2112,60,1.05,700.67,ad_group_4,South America,Desktop,0.0339
26-04-2019,67036,3505,60,1.11,598.59,ad_group_3,North America,Mobile,0.0523
21-02-2016,59715,4609,64,1.07,715.02,ad_group_4,South America,Desktop,0.0772
18-09-2018,94684,1132,54,1.09,687.03,ad_group_4,Europe,Desktop,0.012
01-07-2019,68916,4563,33,1.11,962.02,ad_group_1,North America,Desktop,0.0662
15-01-2015,857,570,49,2.47,5697.6,AdGroup_28,East,Tablet,0.1338
04-06-2019,95899,4171,48,1.15,1114.03,ad_group_3,Asia,Desktop,0.0435
10-09-2016,85487,4866,45,0.88,965.81,ad_group_3,Europe,Mobile,0.0569
26-03-2016,81778,4011,43,1.04,643.4,ad_group_1,Europe,Desktop,0.049
17-06-2018,51777,2670,38,1.01,525.93,ad_group_3,Asia,Desktop,0.0516
09-10-2019,95872,2977,51,1.06,554.59,ad_group_2,Asia,Desktop,0.0311
09-05-2017,87366,4227,52,1.17,461.48,ad_group_2,South America,Desktop,0.0484
19-10-2015,89467,4274,56,1.05,896.08,ad_group_4,Asia,Desktop,0.0478
14-02-2019,94042,2249,44,0.83,648.9,ad_group_3,North America,Desktop,0.0239
15-01-2015,1709,599,118,1.15,3393.62,AdGroup_23,North,Mobile,0.0543
06-06-2020,82211,3644,70,1.06,696.97,ad_group_2,North America,Desktop,0.0443
15-10-2018,90987,3876,30,0.98,1104.94,ad_group_5,Europe,Desktop,0.0426
15-01-2015,2205,62,18,0.89,3376.94,AdGroup_18,North,Desktop,0.0868
28-03-2017,61181,2263,46,1.14,705.54,ad_group_1,Asia,Mobile,0.037
24-10-2015,77714,3954,39,0.9,912.93,ad_group_2,Asia,Desktop,0.0509
15-01-2015,4255,206,95,3.07,7730.16,AdGroup_23,South,Tablet,0.1738
15-02-2016,53026,2619,45,1.06,934.66,ad_group_5,Asia,Desktop,0.0494
16-05-2018,68460,4702,37,1.06,553.75,ad_group_4,Europe,Desktop,0.0687
12-06-2016,50933,3817,39,1.08,1147.42,ad_group_4,Asia,Mobile,0.0749
15-01-2015,3227,492,77,1.77,3379.94,AdGroup_11,South,Desktop,0.128
13-10-2018,71656,4114,61,0.86,1187.65,ad_group_1,Asia,Mobile,0.0574
29-09-2016,61998,3847,63,1.06,648.28,ad_group_4,North America,Desktop,0.0621
06-02-2017,82003,3286,38,1.04,709.41,ad_group_2,Asia,Mobile,0.0401
04-05-2019,50380,3796,30,1.1,1097.82,ad_group_4,Europe,Desktop,0.0753
15-01-2015,1541,374,119,2.22,6812.99,AdGroup_6,East,Tablet,0.0854
24-05-2019,73905,2008,32,1.12,567.02,ad_group_2,South America,Desktop,0.0272
28-04-2020,96491,2220,32,1.06,823.03,ad_group_1,South America,Desktop,0.023
08-07-2015,64357,2919,45,0.97,534.55,ad_group_4,South America,Mobile,0.0454
25-02-2017,90647,1018,40,1.13,801.33,ad_group_2,North America,Mobile,0.0112
29-08-2015,91577,4719,47,1.19,875.65,ad_group_3,Europe,Desktop,0.0515
25-12-2018,68446,3793,48,1.04,1123.86,ad_group_2,South America,Mobile,0.0554
20-12-2017,97572,2043,32,1.11,558.34,ad_group_3,South America,Desktop,0.0209
12-03-2015,68020,1243,33,0.89,860.09,ad_group_2,Asia,Desktop,0.0183
15-01-2015,4395,443,77,2.9,2068.84,AdGroup_11,South,Mobile,0.1715
20-09-2019,81215,4276,31,0.99,885.73,ad_group_4,Asia,Desktop,0.0527
15-03-2015,99832,3681,59,1.06,805.63,ad_group_1,Europe,Mobile,0.0369
11-07-2019,99146,4707,48,0.9,920.49,ad_group_3,North America,Mobile,0.0475
09-04-2017,86394,2334,42,1.02,848.58,ad_group_1,Europe,Desktop,0.027
24-11-2019,51176,3358,32,1.18,630.69,ad_group_1,Europe,Desktop,0.0656
04-03-2019,94951,3027,49,1.01,1094.61,ad_group_4,North America,Mobile,0.0319
25-08-2018,87674,2073,60,1.19,581.69,ad_group_5,North America,Mobile,0.0236
24-06-2018,92537,2716,59,1.17,1114.44,ad_group_3,Asia,Desktop,0.0294
07-06-2015,68591,3281,69,1.05,542.21,ad_group_3,South America,Desktop,0.0478
19-07-2016,67690,2994,32,1.18,408.15,ad_group_4,Asia,Desktop,0.0442
10-12-2019,50113,3853,39,1.02,819.37,ad_group_4,Asia,Mobile,0.0769
18-04-2017,82805,1830,35,1.1,754.51,ad_group_2,Asia,Mobile,0.0221
12-02-2016,83794,4740,48,1.1,613.02,ad_group_5,Asia,Mobile,0.0566
15-01-2015,3114,73,78,0.67,1938.96,AdGroup_29,West,Desktop,0.1135
15-01-2015,4109,567,116,2.55,8581.73,AdGroup_23,East,Desktop,0.1423
16-07-2017,80523,4240,35,1.19,1042.09,ad_group_5,South America,Mobile,0.0527
21-02-2015,56069,2594,69,1.1,1002.08,ad_group_2,South America,Mobile,0.0463
22-03-2020,66225,1913,67,1.11,841.12,ad_group_3,Asia,Desktop,0.0289
04-07-2017,55673,2338,56,1.17,429.66,ad_group_3,North America,Desktop,0.042
06-05-2018,60759,3115,34,0.82,822.46,ad_group_2,North America,Desktop,0.0513
19-08-2019,99479,4315,47,0.82,560.08,ad_group_2,North America,Desktop,0.0434
27-08-2018,78158,3527,53,0.87,660.46,ad_group_3,North America,Desktop,0.0451
26-01-2018,81801,1297,41,0.83,948.28,ad_group_4,North America,Mobile,0.0159
10-05-2020,63609,4730,67,0.92,814.26,ad_group_1,Europe,Desktop,0.0744
27-03-2018,85209,4870,70,0.94,706.36,ad_group_3,Asia,Desktop,0.0572
18-02-2019,68704,4758,53,1.19,1124.86,ad_group_5,Asia,Mobile,0.0693
22-09-2016,60628,3405,46,0.9,1060.21,ad_group_3,Asia,Mobile,0.0562
14-10-2019,95661,1387,54,0.99,631.41,ad_group_2,Europe,Desktop,0.0145
11-04-2017,87000,3595,62,1.02,617.76,ad_group_5,Asia,Desktop,0.0413
22-05-2019,72704,3333,45,0.95,872.49,ad_group_4,Europe,Mobile,0.0458
02-09-2016,86380,3707,64,0.81,1137.98,ad_group_3,Asia,Mobile,0.0429
20-10-2017,64820,2504,34,1.08,408.52,ad_group_1,Europe,Mobile,0.0386
09-08-2015,51397,2776,38,0.82,1076.36,ad_group_4,South America,Desktop,0.054
15-01-2015,1723,433,77,3.01,1031.09,AdGroup_17,West,Tablet,0.0592
22-06-2020,69518,3542,36,1.16,837.72,ad_group_4,North America,Mobile,0.051
26-03-2015,94623,4771,45,1.05,503.61,ad_group_3,North America,Desktop,0.0504
02-01-2019,78202,3836,48,1.03,788.89,ad_group_4,North America,Mobile,0.0491
19-12-2019,66305,3875,54,0.89,1030.76,ad_group_5,South America,Mobile,0.0584
20-04-2015,93570,3663,36,0.98,993.85,ad_group_1,Asia,Mobile,0.0391
15-01-2015,3063,467,9,2.65,8167.14,AdGroup_34,East,Tablet,0.1552
25-02-2016,95853,3469,44,0.85,1173.52,ad_group_2,Europe,Mobile,0.0362
18-10-2015,93320,2897,39,0.84,1062.19,ad_group_3,North America,Desktop,0.031
25-11-2016,66485,2326,53,0.8,575.74,ad_group_1,South America,Desktop,0.035
11-05-2017,56750,3971,53,0.97,1047.34,ad_group_1,South America,Desktop,0.07
17-05-2017,67910,4270,46,0.9,619.24,ad_group_3,Asia,Desktop,0.0629
09-09-2016,94895,1122,61,0.93,415.49,ad_group_4,Asia,Mobile,0.0118
15-01-2015,2394,372,30,1.41,6069.65,AdGroup_20,East,Desktop,0.1078
15-01-2015,1793,50,90,2.26,4448.95,AdGroup_28,North,Mobile,0.108
20-05-2020,54325,4539,38,1.12,571.95,ad_group_3,Asia,Mobile,0.0836
01-08-2015,81179,1428,42,1.02,601.64,ad_group_2,South America,Desktop,0.0176
11-02-2018,87827,4249,68,1.08,622.55,ad_group_1,South America,Desktop,0.0484
27-05-2020,51733,1840,33,1.05,821.19,ad_group_2,Asia,Mobile,0.0356
07-01-2020,85927,1025,61,1.13,839.23,ad_group_1,Europe,Desktop,0.0119
20-12-2016,92112,2784,70,0.83,666.98,ad_group_4,North America,Mobile,0.0302
19-01-2015,69530,2234,63,1.07,715.75,ad_group_3,Asia,Mobile,0.0321
03-02-2020,73131,2752,43,1.04,497.83,ad_group_4,Asia,Mobile,0.0376
04-08-2018,54670,4062,54,0.85,569.76,ad_group_3,South America,Mobile,0.0743
09-03-2020,67121,1179,49,0.92,631.81,ad_group_5,South America,Desktop,0.0176
12-01-2019,71997,3514,50,0.91,1149.05,ad_group_5,Asia,Mobile,0.0488
20-11-2017,74683,1333,62,0.81,840.54,ad_group_4,Asia,Mobile,0.0178
18-03-2015,97667,3897,39,0.84,674.33,ad_group_2,North America,Mobile,0.0399
10-08-2017,77885,3410,45,0.94,711.29,ad_group_1,North America,Mobile,0.0438
